policy,cache_type,l1_size,l2_size,num_cycles
random,data,1024,1024,980044
treelru,data,256,1024,1944217
lru,data,2048,512,872430
lru,data,128,8192,1407885
random,data,128,512,2028111
random,data,1024,8192,878219
treelru,data,256,8192,1279730
lru,data,2048,1024,868215
lru,data,256,512,1610607
random,data,128,1024,1614719
random,data,2048,512,886096
treelru,data,512,512,1233929
lru,data,2048,8192,812073
random,data,128,8192,1405085
lru,data,256,1024,1299985
random,data,2048,1024,876294
treelru,data,512,1024,1170638
lru,data,4096,512,796307
random,data,2048,8192,810257
random,data,256,512,1585092
lru,data,256,8192,1129376
treelru,data,512,8192,1030211
lru,data,4096,1024,794567
random,data,4096,512,803488
lru,data,512,512,1087549
random,data,256,1024,1352603
random,data,4096,1024,800294
treelru,data,1024,512,1013101
lru,data,4096,8192,765198
lru,data,512,1024,1054803
random,data,256,8192,1164334
random,data,4096,8192,759991
treelru,data,1024,1024,1002093
lru,data,512,8192,914631
treelru,data,128,512,2692995
random,data,512,512,1137901
lru,data,128,512,2058965
lru,data,1024,512,969749
treelru,data,1024,8192,945368
random,data,512,1024,1107062
treelru,data,128,1024,2422398
treelru,data,2048,512,876784
lru,data,128,1024,1591437
lru,data,1024,1024,953194
random,data,512,8192,963338
treelru,data,2048,1024,875121
treelru,data,128,8192,1563480
lru,data,1024,8192,853782
treelru,data,2048,8192,867722
random,data,1024,512,993517
lip,data,512,512,1241758
lip,data,4096,1024,794765
treelru,data,4096,512,799079
mru,data,512,8192,1515472
treelru,data,256,512,1972895
lip,data,512,1024,1209930
lip,data,4096,8192,781121
treelru,data,4096,1024,798657
mru,data,1024,512,1424811
lfu,data,128,512,2739726
lip,data,512,8192,938770
treelru,data,4096,8192,792868
mru,data,1024,1024,1375971
mru,data,128,512,3018863
mru,data,1024,8192,1255098
lip,data,1024,512,1031427
lfu,data,128,1024,2569949
lip,data,128,512,2348025
mru,data,2048,512,1140175
lip,data,1024,1024,1021078
mru,data,128,1024,2882997
lfu,data,128,8192,1559748
lip,data,128,1024,1731296
mru,data,2048,1024,1128220
lip,data,1024,8192,862696
lip,data,128,8192,1290646
mru,data,128,8192,2028181
lfu,data,256,512,2312555
lip,data,2048,512,870839
mru,data,2048,8192,1012998
lip,data,256,512,1931477
mru,data,256,512,2423274
lip,data,2048,1024,867775
mru,data,4096,512,902108
lfu,data,256,1024,2207295
lip,data,256,1024,1818017
mru,data,4096,1024,896750
lip,data,2048,8192,837933
mru,data,256,1024,2336750
lfu,data,256,8192,1411691
lip,data,256,8192,1166362
mru,data,4096,8192,854661
lfu,data,1024,1024,1150827
lip,data,4096,512,796692
lfu,data,512,512,1480945
mru,data,256,8192,1833412
fifo,data,128,8192,1477663
lfu,data,1024,8192,968816
fifo,data,2048,512,881801
lfu,data,512,1024,1472447
mru,data,512,512,1841439
fifo,data,256,512,1700353
fifo,data,2048,1024,875544
lfu,data,2048,512,976320
lfu,data,512,8192,1069805
fifo,data,2048,8192,819555
mru,data,512,1024,1774698
lfu,data,2048,1024,970127
fifo,data,256,1024,1331223
lfu,data,1024,512,1158050
fifo,data,4096,512,800552
lfu,data,2048,8192,933483
fifo,data,256,8192,1158993
secondchance,data,256,1024,1290392
lfu,data,4096,512,840309
secondchance,data,2048,8192,806126
fifo,data,4096,1024,800199
secondchance,data,256,8192,1119009
fifo,data,512,512,1134977
lfu,data,4096,1024,837003
fifo,data,4096,8192,774347
secondchance,data,4096,512,798053
secondchance,data,512,512,1096413
lfu,data,4096,8192,819856
fifo,data,512,1024,1089565
secondchance,data,128,512,1974855
secondchance,data,4096,1024,796241
secondchance,data,512,1024,1061389
fifo,data,128,512,2232668
fifo,data,512,8192,954021
secondchance,data,128,1024,1548850
secondchance,data,4096,8192,763104
secondchance,data,512,8192,929247
fifo,data,128,1024,1656816
fifo,data,1024,512,995490
secondchance,data,128,8192,1366830
nru,data,128,512,2057419
secondchance,data,1024,512,968521
nru,data,512,512,1094149
fifo,data,1024,1024,980268
secondchance,data,256,512,1520421
secondchance,data,1024,1024,951026
nru,data,128,1024,1619627
nru,data,512,1024,1057543
fifo,data,1024,8192,882231
nru,data,4096,1024,795974
secondchance,data,1024,8192,852139
nru,data,4096,8192,764085
nru,data,128,8192,1433040
nru,data,512,8192,918133
rrip,data,512,8192,910233
secondchance,data,2048,512,872063
nru,data,256,512,1551679
rrip,data,1024,512,967993
rrip,data,128,512,1959299
nru,data,1024,512,971094
rrip,data,1024,1024,951230
rrip,data,128,1024,1525613
nru,data,256,1024,1309020
secondchance,data,2048,1024,869122
nru,data,1024,1024,957346
rrip,data,1024,8192,844208
rrip,data,128,8192,1345083
nru,data,256,8192,1125508
brrip,data,128,512,1908601
nru,data,1024,8192,854532
rrip,data,2048,512,873251
rrip,data,256,512,1535024
brrip,data,128,1024,1612240
nru,data,2048,512,873952
brrip,data,1024,1024,974930
rrip,data,2048,1024,866811
rrip,data,256,1024,1280597
brrip,data,1024,8192,832559
nru,data,2048,1024,867972
brrip,data,128,8192,1352844
rrip,data,2048,8192,801893
rrip,data,256,8192,1102577
brrip,data,2048,512,872862
rrip,data,4096,512,794892
rrip,data,512,512,1086865
nru,data,2048,8192,808515
brrip,data,256,512,1579385
rrip,data,4096,1024,792504
rrip,data,512,1024,1055225
brrip,data,2048,1024,866434
nru,data,4096,512,796862
brrip,data,256,1024,1462766
rrip,data,4096,8192,762014
brrip,data,2048,8192,815603
brrip,data,256,8192,1101551
brrip,data,4096,512,797370
brrip,data,512,512,1153990
brrip,data,4096,1024,789830
brrip,data,512,1024,1124179
brrip,data,4096,8192,761328
brrip,data,512,8192,914186
brrip,data,1024,512,999011
