policy,cache_type,l1_size,l2_size,num_cycles
lru,data,2048,2048,47443461
random,data,1024,2048,57122405
treelru,data,512,512,98682385
lru,data,256,512,114495706
random,data,128,512,173331032
lru,data,2048,8192,47355344
random,data,1024,8192,54271091
treelru,data,512,1024,97193114
lru,data,256,1024,109076909
lru,data,4096,512,45846908
random,data,2048,512,49825475
random,data,128,1024,163172383
treelru,data,512,2048,96668120
lru,data,4096,1024,45838513
lru,data,256,2048,102963929
random,data,2048,1024,48060455
lru,data,4096,2048,45833580
treelru,data,512,8192,70176802
lru,data,256,8192,98022477
random,data,2048,2048,47575738
random,data,128,2048,147571291
lru,data,4096,8192,45776748
lru,data,512,512,82919917
treelru,data,1024,512,75571550
random,data,2048,8192,47421854
random,data,4096,512,45854571
treelru,data,1024,1024,75166369
random,data,128,8192,143331783
lru,data,512,1024,79896631
random,data,4096,1024,45835068
lru,data,512,2048,70800243
treelru,data,1024,2048,74784639
random,data,256,512,112977587
treelru,data,128,512,498732359
random,data,4096,2048,45826886
lru,data,512,8192,61790844
treelru,data,1024,8192,59744779
random,data,4096,8192,45759446
random,data,256,1024,106139168
lru,data,1024,512,70180934
treelru,data,2048,512,52413291
treelru,data,128,1024,290180306
random,data,256,2048,91222934
treelru,data,2048,1024,52099098
lru,data,1024,1024,69116575
lru,data,128,512,200057188
treelru,data,2048,2048,51350065
random,data,256,8192,82997132
lru,data,1024,2048,58181639
treelru,data,2048,8192,50384457
treelru,data,128,2048,216980643
lru,data,1024,8192,54122999
random,data,512,512,86374264
lru,data,128,1024,195978404
treelru,data,4096,512,46084030
lru,data,2048,512,49788288
random,data,512,1024,80814865
treelru,data,4096,1024,46082316
treelru,data,128,8192,185674165
lru,data,2048,1024,47759116
lru,data,128,2048,190060126
random,data,512,2048,67754903
treelru,data,4096,2048,46082344
lip,data,1024,512,75627917
treelru,data,4096,8192,46046240
treelru,data,256,512,199030221
random,data,512,8192,61253761
lip,data,1024,1024,74440795
lru,data,128,8192,225476720
random,data,1024,512,70467207
treelru,data,256,1024,200320320
lip,data,128,512,212024796
lip,data,1024,2048,64349142
random,data,1024,1024,66319782
lip,data,1024,8192,57003957
treelru,data,256,2048,129042008
mru,data,128,2048,342908649
mru,data,2048,512,90866180
lip,data,128,1024,192917147
lip,data,2048,512,51155389
